i,j,word1,word2,clue
8,10,down,call,safe
8,11,down,woman,trail
8,15,down,feel,sad
8,15,down,feel,waste
8,17,down,school,pick
8,18,down,state,maine
8,28,down,show,disk
8,28,down,show,disc
8,29,down,student,failing
8,30,down,might,treaty
8,32,down,place,located
8,34,down,country,farms
8,36,down,point,descending
8,39,down,turn,refuse
8,39,down,turn,reject
8,39,down,turn,denied
8,39,down,turn,deny
8,42,down,run,tire
8,42,down,run,tired
8,42,down,run,exhaust
8,45,down,night,var
8,47,down,number,wood
8,48,down,money,pull
8,48,down,money,pulling
8,48,down,money,shake
9,11,try,woman,pump
9,17,try,school,engineer
9,17,try,school,zen
9,19,try,talk,bull
9,23,try,help,lawyer
9,30,try,might,amd
9,37,try,hand,wrestling
9,40,try,few,sip
9,42,try,run,ski
9,42,try,run,hazard
9,50,try,book,sample
10,12,call,still,dsc
10,18,call,state,oregon
10,18,call,state,ohio
10,19,call,talk,steven
10,22,call,put,remind
10,23,call,help,gale
10,23,call,help,soa
10,27,call,house,office
10,30,call,might,required
10,34,call,country,london
10,37,call,hand,wave
10,37,call,hand,stream
10,38,call,play,bingo
10,44,call,case,advocacy
10,44,call,case,applications
10,46,call,game,ref
10,46,call,game,marco
10,47,call,number,dial
10,48,call,money,skype
11,13,woman,mean,witch
11,13,woman,mean,jade
11,17,woman,school,smith
11,20,woman,keep,kept
11,21,woman,leave,rolled
11,22,woman,put,coat
11,24,woman,start,cow
11,26,woman,family,princess
11,34,woman,country,donna
11,37,woman,hand,suit
11,37,woman,hand,suited
11,38,woman,play,gibson
11,39,woman,turn,fox
11,39,woman,turn,herself
11,40,woman,few,those
11,44,woman,case,compact
11,49,woman,lot,goods
11,49,woman,lot,lovely
11,50,woman,book,ada
12,13,still,mean,exist
12,14,still,world,florence
12,15,still,feel,fitness
12,16,still,child,toddler
12,17,still,school,steady
12,20,still,keep,pose
12,25,still,high,tab
12,26,still,family,ours
12,27,still,house,beta
12,30,still,might,contacts
12,31,still,part,recipe
12,32,still,place,furthermore
12,40,still,few,sleeve
12,41,still,group,alcohol
12,42,still,run,operational
12,45,still,night,silent
12,49,still,lot,bigger
13,14,mean,world,equation
13,21,mean,leave,liked
13,33,mean,problem,crime
13,34,mean,country,climate
13,34,mean,country,import
13,37,mean,hand,feat
13,37,mean,hand,narrow
13,39,mean,turn,fog
13,39,mean,turn,intend
13,44,mean,case,because
13,45,mean,night,moon
13,47,mean,number,census
14,17,world,school,logic
14,17,world,school,science
14,17,world,school,sea
14,17,world,school,theology
14,18,world,state,season
14,22,world,put,dispatch
14,23,world,help,relief
14,26,world,family,roller
14,26,world,family,melissa
14,26,world,family,buffalo
14,30,world,might,algorithm
14,31,world,part,export
14,31,world,part,west
14,34,world,country,russia
14,34,world,country,argentina
14,34,world,country,australia
14,34,world,country,brazil
14,34,world,country,india
14,35,world,week,wednesday
14,39,world,turn,orbit
14,42,world,run,campaign
14,42,world,run,occur
14,43,world,guy,sole
14,46,world,game,risk
14,48,world,money,euro
14,48,world,money,dollar
15,19,feel,talk,heard
15,25,feel,high,bent
15,28,feel,show,respect
15,30,feel,might,believes
15,34,feel,country,nam
15,35,feel,week,went
15,36,feel,point,glow
15,41,feel,group,printing
15,41,feel,group,trust
15,43,feel,guy,was
15,43,feel,guy,guilty
15,47,feel,number,appreciate
15,48,feel,money,happy
15,49,feel,lot,harm
15,50,feel,book,subscribe
16,18,child,state,labor
16,18,child,state,labour
16,27,child,house,amy
16,27,child,house,coral
16,34,child,country,daughter
16,36,child,point,top
16,36,child,point,tops
16,38,child,play,picnic
16,40,child,few,fresh
16,40,child,few,lowest
16,43,child,guy,boys
16,46,child,game,tagged
16,47,child,number,burden
17,23,school,help,doctor
17,25,school,high,graduation
17,25,school,high,colleges
17,25,school,high,intermediate
17,26,school,family,jurisdiction
17,27,school,house,aquarium
17,31,school,part,reception
17,31,school,part,session
17,34,school,country,division
17,35,school,week,sep
17,36,school,point,basic
17,37,school,hand,explore
17,41,school,group,director
17,42,school,run,pickup
17,43,school,guy,fridge
17,44,school,case,hop
17,45,school,night,extension
17,46,school,game,gym
17,47,school,number,pod
17,48,school,money,private
18,24,state,start,from
18,28,state,show,missouri
18,29,state,student,internship
18,31,state,part,madison
18,31,state,part,salem
18,32,state,place,raw
18,33,state,problem,addiction
18,36,state,point,extremely
18,37,state,hand,towards
18,37,state,hand,toward
18,41,state,group,acc
18,41,state,group,member
18,42,state,run,regime
18,44,state,case,hearing
18,44,state,case,behavior
18,46,state,game,configuration
18,46,state,game,setup
18,47,state,number,infection
19,23,talk,help,laura
19,28,talk,show,emission
19,28,talk,show,radio
19,28,talk,show,dialog
19,28,talk,show,plug
19,29,talk,student,hash
19,32,talk,place,threaded
19,32,talk,place,post
19,34,talk,country,snow
19,41,talk,group,conversation
19,44,talk,case,causes
19,46,talk,game,rabbit
19,48,talk,money,budget
19,50,talk,book,dating
19,50,talk,book,era
20,21,keep,leave,exclude
20,21,keep,leave,avoiding
20,22,keep,put,garage
20,22,keep,put,hide
20,28,keep,show,lip
20,31,keep,part,wild
20,31,keep,part,visible
20,32,keep,place,cache
20,36,keep,point,cape
20,37,keep,hand,store
20,40,keep,few,often
20,41,keep,group,police
20,41,keep,group,music
20,42,keep,run,chain
20,44,keep,case,container
20,46,keep,game,defensive
20,49,keep,lot,busy
21,22,leave,put,lets
21,22,leave,put,letting
21,25,leave,high,sue
21,27,leave,house,overcome
21,29,leave,student,permit
21,31,leave,part,shed
21,34,leave,country,visa
21,40,leave,few,burke
21,43,leave,guy,her
21,44,leave,case,chuck
21,47,leave,number,except
22,25,put,high,premium
22,26,put,family,market
22,28,put,show,brave
22,32,put,place,introduced
22,32,put,place,implemented
22,32,put,place,implement
22,36,put,point,stops
22,37,put,hand,dive
22,37,put,hand,stretch
22,39,put,turn,port
22,39,put,turn,ports
22,41,put,group,delta
22,44,put,case,suppose
22,45,put,night,bath
22,46,put,game,send
22,48,put,money,investment
23,25,help,high,neck
23,26,help,family,related
23,31,help,part,aids
23,31,help,part,assisted
23,33,help,problem,cure
23,34,help,country,collaboration
23,38,help,play,use
23,40,help,few,seconds
23,41,help,group,aaa
23,48,help,money,charitable
23,50,help,book,controlling
24,31,start,part,they
24,32,start,place,dodge
24,36,start,point,server
24,38,start,play,strike
24,38,start,play,hiking
24,38,start,play,centre
24,43,start,guy,fed
24,46,start,game,spring
24,50,start,book,contents
25,26,high,family,nylon
25,27,high,house,tree
25,30,high,might,keys
25,32,high,place,gods
25,32,high,place,temple
25,32,high,place,sky
25,32,high,place,sublime
25,33,high,problem,crisis
25,33,high,problem,emergency
25,33,high,problem,disaster
25,33,high,problem,airline
25,34,high,country,nepal
25,35,high,week,maximum
25,35,high,week,patch
25,36,high,point,crest
25,37,high,hand,advertisement
25,37,high,hand,connector
25,37,high,hand,trips
25,37,high,hand,tiger
25,38,high,play,signal
25,39,high,turn,capacity
25,41,high,group,pink
25,44,high,case,barrel
25,46,high,game,craps
25,46,high,game,polo
25,47,high,number,tons
25,47,high,number,ton
25,47,high,number,plenty
25,47,high,number,rate
25,47,high,number,frequency
25,48,high,money,bomb
25,49,high,lot,considerable
25,50,high,book,pda
26,28,family,show,diagram
26,28,family,show,indicator
26,34,family,country,tradition
26,37,family,hand,connection
26,40,family,few,friends
26,41,family,group,were
26,42,family,run,swift
26,44,family,case,mixing
27,29,house,student,lab
27,31,house,part,room
27,31,house,part,dose
27,31,house,part,den
27,34,house,country,lodge
27,40,house,few,members
27,41,house,group,coalition
27,46,house,game,kitchen
27,47,house,number,ten
27,48,house,money,earnings
27,48,house,money,revenue
27,48,house,money,income
27,48,house,money,expense
27,49,house,lot,premises
27,49,house,lot,full
27,50,house,book,appendix
28,29,show,student,screen
28,32,show,place,cinema
28,32,show,place,salon
28,32,show,place,theatre
28,33,show,problem,storm
28,34,show,country,globe
28,34,show,country,register
28,36,show,point,designed
28,38,show,play,saint
28,38,show,play,saints
28,44,show,case,virtue
28,45,show,night,aurora
28,46,show,game,trivia
28,47,show,number,two
28,48,show,money,flash
29,40,student,few,individuals
29,41,student,group,combination
29,44,student,case,referral
29,46,student,game,tracked
29,46,student,game,tracking
29,47,student,number,enrollment
29,50,student,book,classic
29,50,student,book,reading
30,32,might,place,possible
30,37,might,hand,hat
30,41,might,group,terrorism
30,45,might,night,occurred
30,47,might,number,equivalent
30,48,might,money,realize
31,33,part,problem,inspiration
31,34,part,country,frontier
31,34,part,country,north
31,36,part,point,middle
31,36,part,point,insertion
31,36,part,point,vertex
31,36,part,point,halo
31,39,part,turn,twist
31,42,part,run,roof
31,43,part,guy,cable
31,44,part,case,legs
31,46,part,game,half
31,46,part,game,cage
31,47,part,number,reference
31,47,part,number,majority
31,47,part,number,fraction
31,48,part,money,shirt
31,48,part,money,spend
31,49,part,lot,shipment
31,50,part,book,spine
31,50,part,book,cove
31,50,part,book,introduction
32,33,place,problem,burst
32,34,place,country,dale
32,36,place,point,intersection
32,37,place,hand,touched
32,38,place,play,field
32,38,place,play,yard
32,39,place,turn,swing
32,41,place,group,together
32,41,place,group,accepted
32,44,place,case,luggage
32,44,place,case,mail
32,47,place,number,thereby
32,48,place,money,chest
33,34,problem,country,chad
33,34,problem,country,cuba
33,34,problem,country,iraq
33,40,problem,few,matters
33,40,problem,few,drink
33,46,problem,game,puzzle
33,47,problem,number,result
33,48,problem,money,saving
33,48,problem,money,deficit
34,36,country,point,central
34,38,country,play,defense
34,41,country,group,federation
34,41,country,group,royalty
34,41,country,group,mission
34,41,country,group,village
34,43,country,guy,customer
34,43,country,guy,eric
34,44,country,case,their
34,45,country,night,frost
34,47,country,number,berlin
34,48,country,money,loaded
34,49,country,lot,acres
35,40,week,few,recently
35,46,week,game,july
35,48,week,money,wages
36,38,point,play,safety
36,39,point,turn,watershed
36,41,point,group,graph
36,41,point,group,agency
36,42,point,run,tongue
36,42,point,run,conduct
36,43,point,guy,blade
36,44,point,case,examples
36,47,point,number,pencil
36,49,point,lot,tied
36,49,point,lot,ties
37,38,hand,play,ride
37,38,hand,play,elder
37,39,hand,turn,left
37,40,hand,few,closely
37,42,hand,run,bowl
37,43,hand,guy,pole
37,44,hand,case,species
37,50,hand,book,drawing
38,41,play,group,orchestra
38,44,play,case,acting
38,45,play,night,clubs
38,46,play,game,perform
38,47,play,number,string
38,47,play,number,strings
38,48,play,money,folding
38,50,play,book,script
38,50,play,book,thriller
38,50,play,book,title
39,42,turn,run,tail
39,45,turn,night,closed
39,48,turn,money,penny
39,50,turn,book,agenda
40,41,few,group,colony
40,42,few,run,filtering
40,46,few,game,deer
40,47,few,number,limited
40,47,few,number,minimal
40,49,few,lot,kinda
40,50,few,book,brochure
40,50,few,book,odds
41,42,group,run,pack
41,43,group,guy,enemy
41,46,group,game,eleven
41,46,group,game,raid
41,47,group,number,suite
41,48,group,money,circulation
42,46,run,game,offense
42,50,run,book,compile
43,44,guy,case,himself
43,44,guy,case,his
43,45,guy,night,johnny
43,46,guy,game,mario
43,46,guy,game,alex
43,48,guy,money,sen
43,50,guy,book,isaac
43,50,guy,book,tool
44,45,case,night,yesterday
44,47,case,number,concord
45,46,night,game,floating
45,47,night,number,jay
45,50,night,book,trio
46,47,game,number,keno
46,48,game,money,betting
47,50,number,book,edition
47,50,number,book,chapter
47,50,number,book,isbn
48,49,money,lot,silver
49,50,lot,book,most
49,50,lot,book,code
